,text,labels,all_span_aspect
1298,Giá trị tốt cho khoản tiền bỏ ra. Cầm chắc tay và mẫu mã đẹp. Sử dụng khá mượt mà.,"[[0, 32, 'PRICE#POSITIVE'], [34, 60, 'DESIGN#POSITIVE'], [62, 81, 'PERFORMANCE#POSITIVE']]","[('Giá trị tốt cho khoản tiền bỏ ra', 'PRICE#POSITIVE'), ('Cầm chắc tay và mẫu mã đẹp', 'DESIGN#POSITIVE'), ('Sử dụng khá mượt mà', 'PERFORMANCE#POSITIVE')]"
1299,Dùng được hơn 20 ngày. Pin dùng dư 1 ngày. Cam vừa đủ dùng. Sản phẩm tốt cho người dùng phổ thông.,"[[23, 41, 'BATTERY#POSITIVE'], [43, 58, 'CAMERA#NEUTRAL'], [60, 97, 'GENERAL#POSITIVE']]","[('Pin dùng dư 1 ngày', 'BATTERY#POSITIVE'), ('Cam vừa đủ dùng', 'CAMERA#NEUTRAL'), ('Sản phẩm tốt cho người dùng phổ thông', 'GENERAL#POSITIVE')]"
1300,"Khuyên những ai tính mua điện thoại này thì suy nghĩ kĩ. Những bước kiểm tra cơ bản ở cửa hàng các bạn sẽ không nhận ra rằng đây là chiếc điện thoại cực kì kém. Màu sắc màn hình rất nhợt nhạt, khi bạn dùng ứng dụng kể cả ứng dụng nhẹ nhất tới 1 khoảng thời gian nhất định nó tự văng ra ngoài, những ứng dụng phức tạp hơn 1 tí thì nó phản hồi cực kì chậm luôn. Cân nhắc kĩ trước khi mua chứ sài riêng mình cảm thấy rất ức chế mặc dù mình chỉ dùng nó như là máy phụ thôi.","[[132, 159, 'GENERAL#NEGATIVE'], [161, 191, 'SCREEN#NEGATIVE'], [193, 358, 'PERFORMANCE#NEGATIVE']]","[('chiếc điện thoại cực kì kém', 'GENERAL#NEGATIVE'), ('Màu sắc màn hình rất nhợt nhạt', 'SCREEN#NEGATIVE'), ('khi bạn dùng ứng dụng kể cả ứng dụng nhẹ nhất tới 1 khoảng thời gian nhất định nó tự văng ra ngoài, những ứng dụng phức tạp hơn 1 tí thì nó phản hồi cực kì chậm luôn', 'PERFORMANCE#NEGATIVE')]"
1301,Tóm lại. Thua ip6 đang dùng. Cảm ứng thua xa... camera có khá hơn chút nhưng so tầm giá ko đáng mua,"[[0, 27, 'GENERAL#NEGATIVE'], [29, 44, 'FEATURES#NEGATIVE'], [48, 70, 'CAMERA#POSITIVE'], [80, 99, 'GENERAL#NEGATIVE']]","[('Tóm lại. Thua ip6 đang dùng', 'GENERAL#NEGATIVE'), ('Cảm ứng thua xa', 'FEATURES#NEGATIVE'), ('camera có khá hơn chút', 'CAMERA#POSITIVE'), ('tầm giá ko đáng mua', 'GENERAL#NEGATIVE')]"
1302,"Sao xem youtube video có 1080 mà đt này chỉ nhận được 720 vậy??? Video mờ, chụp hình thua dòng cũ rất nhiều dù dòng cũ chỉ có 16mp còn này 25mp","[[4, 57, 'SCREEN#NEGATIVE'], [65, 107, 'CAMERA#NEGATIVE']]","[('xem youtube video có 1080 mà đt này chỉ nhận được 720', 'SCREEN#NEGATIVE'), ('Video mờ, chụp hình thua dòng cũ rất nhiều', 'CAMERA#NEGATIVE')]"
1303,"Máy mới mua về cách đây 5 ngày thì bị đứt màn hình , camera bị mờ đã ra đổi lại cái mới nhưng vs mức giá 4tr mấy thì hk xứng","[[35, 50, 'SCREEN#NEGATIVE'], [53, 65, 'CAMERA#NEGATIVE'], [97, 124, 'PRICE#NEGATIVE']]","[('bị đứt màn hình', 'SCREEN#NEGATIVE'), ('camera bị mờ', 'CAMERA#NEGATIVE'), ('mức giá 4tr mấy thì hk xứng', 'PRICE#NEGATIVE')]"
1304,"Pin hơi yếu với thông số 4500mAh, vân tay không nhạy cho lắm. Còn lại thì ok hết.","[[0, 32, 'BATTERY#NEGATIVE'], [34, 60, 'FEATURES#NEGATIVE'], [62, 80, 'GENERAL#POSITIVE']]","[('Pin hơi yếu với thông số 4500mAh', 'BATTERY#NEGATIVE'), ('vân tay không nhạy cho lắm', 'FEATURES#NEGATIVE'), ('Còn lại thì ok hết', 'GENERAL#POSITIVE')]"
1305,"Mua được hai tuần . Thứ nhất là đánh giá về chất lượng máy : Xiaomi chưa bao giờ làm mình thất vọng về những sản phẩm của họ . Cấu hình tốt , pin trâu chiến game ngon max setting . Có đôi khi lỗi lặt vặt nhưng không đáng kể , vì mình biết số tiền của mình bỏ ra nó nằm ở đâu . Thứ hai là về nhân viên TGDD phục vụ rất tốt . Siêu thị mình mua là ở Hòn Chồng , Vĩnh Phước Nha Trang có bạn gái tên Thảo và một cô gái hơi cao mắt cận không nhớ tên phục vụ rất hài lòng . Có rất đông khách , nhưng có đến bốn nhân viên phục vụ cho một mình mình . Rất chu đáo nhiệt tình , vui vẻ . Luôn cảm ơn cách chăm sóc khách hàng của TGDD .","[[61, 124, 'SER&ACC#POSITIVE'], [127, 139, 'PERFORMANCE#POSITIVE'], [142, 150, 'BATTERY#POSITIVE'], [151, 178, 'PERFORMANCE#POSITIVE'], [181, 223, 'GENERAL#NEUTRAL'], [301, 321, 'SER&ACC#POSITIVE'], [467, 621, 'SER&ACC#POSITIVE']]","[('Xiaomi chưa bao giờ làm mình thất vọng về những sản phẩm của họ', 'SER&ACC#POSITIVE'), ('Cấu hình tốt', 'PERFORMANCE#POSITIVE'), ('pin trâu', 'BATTERY#POSITIVE'), ('chiến game ngon max setting', 'PERFORMANCE#POSITIVE'), ('Có đôi khi lỗi lặt vặt nhưng không đáng kể', 'GENERAL#NEUTRAL'), ('TGDD phục vụ rất tốt', 'SER&ACC#POSITIVE'), ('Có rất đông khách , nhưng có đến bốn nhân viên phục vụ cho một mình mình . Rất chu đáo nhiệt tình , vui vẻ . Luôn cảm ơn cách chăm sóc khách hàng của TGDD', 'SER&ACC#POSITIVE')]"
1306,"Sản phẩm rất chất lượng, chủ yếu mình về để chơi game nên con máy này không có gì phải chê hết, CPU và GPU rất là mượt mà.","[[0, 23, 'GENERAL#POSITIVE'], [33, 121, 'PERFORMANCE#POSITIVE']]","[('Sản phẩm rất chất lượng', 'GENERAL#POSITIVE'), ('mình về để chơi game nên con máy này không có gì phải chê hết, CPU và GPU rất là mượt mà', 'PERFORMANCE#POSITIVE')]"
1307,Đt e mới mua đc 8 ngày. Hình ảnh chụp hk sắc nét. Còn pin thì 6h sáng sạc đầy 100% pin nhưng tới 16h chìu chỉ còn 15% pin. Pin hk trâu j hết. 😒😒,"[[24, 48, 'CAMERA#NEGATIVE'], [50, 140, 'BATTERY#NEGATIVE']]","[('Hình ảnh chụp hk sắc nét', 'CAMERA#NEGATIVE'), ('Còn pin thì 6h sáng sạc đầy 100% pin nhưng tới 16h chìu chỉ còn 15% pin. Pin hk trâu j hết', 'BATTERY#NEGATIVE')]"
1308,Sản phẩm tạm dùng dc nhưng cáu hình hơi thấp.Vân tay khá mượt.Cam thì hơi bị rỗ,"[[0, 20, 'GENERAL#NEUTRAL'], [27, 44, 'PERFORMANCE#NEGATIVE'], [45, 61, 'FEATURES#POSITIVE'], [62, 79, 'CAMERA#NEGATIVE']]","[('Sản phẩm tạm dùng dc', 'GENERAL#NEUTRAL'), ('cáu hình hơi thấp', 'PERFORMANCE#NEGATIVE'), ('Vân tay khá mượt', 'FEATURES#POSITIVE'), ('Cam thì hơi bị rỗ', 'CAMERA#NEGATIVE')]"
1309,"Máy pin rất trâu , nhưng máy sử dụng cực kì lag dù mình không hề chơi game chỉ lướt fb và đọc mes thôi cũng đơ máy , và liên tục chứ không phải lâu lâu mới bị . Phải đổi máy lại một lần vì máy kia bị lỗi loa sau vài ngày sử dụng , hối hận vì không trả lại máy cho cửa hàng luôn","[[0, 16, 'BATTERY#POSITIVE'], [25, 159, 'PERFORMANCE#NEGATIVE'], [231, 277, 'GENERAL#NEGATIVE'], [189, 208, 'FEATURES#NEGATIVE']]","[('Máy pin rất trâu', 'BATTERY#POSITIVE'), ('máy sử dụng cực kì lag dù mình không hề chơi game chỉ lướt fb và đọc mes thôi cũng đơ máy , và liên tục chứ không phải lâu lâu mới bị ', 'PERFORMANCE#NEGATIVE'), ('hối hận vì không trả lại máy cho cửa hàng luôn', 'GENERAL#NEGATIVE'), ('máy kia bị lỗi loa ', 'FEATURES#NEGATIVE')]"
1310,Điện thoại Oppo A91 giá tầm này là OK lắm rồi đấy nhưng pin thì hơi mau hết hơi hơi buồn,"[[0, 49, 'GENERAL#POSITIVE'], [56, 88, 'BATTERY#NEGATIVE']]","[('Điện thoại Oppo A91 giá tầm này là OK lắm rồi đấy', 'GENERAL#POSITIVE'), ('pin thì hơi mau hết hơi hơi buồn', 'BATTERY#NEGATIVE')]"
1311,"Máy thiết kế đẹp sang trọng không nóng như lời đồn!G90t Rất ngon ,Ai băn khoăn thì xúc mau nha liên quân full settings rất mượt và không nóng","[[0, 27, 'DESIGN#POSITIVE'], [28, 38, 'PERFORMANCE#POSITIVE'], [51, 64, 'PERFORMANCE#POSITIVE'], [95, 141, 'PERFORMANCE#POSITIVE']]","[('Máy thiết kế đẹp sang trọng', 'DESIGN#POSITIVE'), ('không nóng', 'PERFORMANCE#POSITIVE'), ('G90t Rất ngon', 'PERFORMANCE#POSITIVE'), ('liên quân full settings rất mượt và không nóng', 'PERFORMANCE#POSITIVE')]"
1312,Mua đc 2 tháng rồi. Trog tầm giá 4 củ thì con này quá tuyệt. Đẹp từ hình dáng đến cấu hình. Dùng chả có lỗi gì hết. Quá là ok luôn. Còn bác nào chê thì tốt nhất lần sau bỏ thêm tiền ra mà mua con khác giá cao hơn cho xịn xò. Còn chưa đến 4 củ mà chê thì chịu.,"[[25, 37, 'PRICE#NEUTRAL'], [42, 59, 'GENERAL#POSITIVE'], [61, 77, 'DESIGN#POSITIVE'], [78, 90, 'PERFORMANCE#POSITIVE'], [92, 130, 'GENERAL#POSITIVE']]","[('tầm giá 4 củ', 'PRICE#NEUTRAL'), ('con này quá tuyệt', 'GENERAL#POSITIVE'), ('Đẹp từ hình dáng', 'DESIGN#POSITIVE'), ('đến cấu hình', 'PERFORMANCE#POSITIVE'), ('Dùng chả có lỗi gì hết. Quá là ok luôn', 'GENERAL#POSITIVE')]"
1313,"Máy dùng tương đối ổn trong tầm giá,nhưng thất vọng về viên pin 4000mAh quá,tụt pin thấy sợ luôn.mong sẽ có bản chỉnh sửa sớm","[[42, 96, 'BATTERY#NEGATIVE'], [0, 21, 'GENERAL#NEUTRAL']]","[('thất vọng về viên pin 4000mAh quá,tụt pin thấy sợ luôn', 'BATTERY#NEGATIVE'), ('Máy dùng tương đối ổn', 'GENERAL#NEUTRAL')]"
1314,Máy Sài ngon chơi Pubg đúng mượt lun di chuyển ngon lành cành đào 👍👍👍 pin trâu mình Sài cả ngày chơi game các thứ mà tới cuối ngày mới hết pin lại sạc nhanh nữa 👍👍 về kết nối Wifi thì đúng mạnh lun mạng xa tuốt ngoài kia mà mình nằm trog nhà vẫn chạy ngon 😍😍 nhờ có máy này mà mình ít tốn bao nhiu là 3G ☺☺,"[[0, 12, 'GENERAL#POSITIVE'], [13, 65, 'PERFORMANCE#POSITIVE'], [70, 160, 'BATTERY#POSITIVE'], [167, 255, 'FEATURES#POSITIVE']]","[('Máy Sài ngon', 'GENERAL#POSITIVE'), ('chơi Pubg đúng mượt lun di chuyển ngon lành cành đào', 'PERFORMANCE#POSITIVE'), ('pin trâu mình Sài cả ngày chơi game các thứ mà tới cuối ngày mới hết pin lại sạc nhanh nữa', 'BATTERY#POSITIVE'), ('kết nối Wifi thì đúng mạnh lun mạng xa tuốt ngoài kia mà mình nằm trog nhà vẫn chạy ngon', 'FEATURES#POSITIVE')]"
1315,Đầu tiên mình ko để ý đến cái tên xiaomi nhưng nghea bạn đã dùng được 2 năm tư vấn mua luôn dùng thấy ok mọi thứ đều mượt pin quá trâu nhưng camera hay lỗi lúc muốn chụp thì ko lên ảnh,"[[92, 121, 'GENERAL#POSITIVE'], [122, 134, 'BATTERY#POSITIVE'], [135, 184, 'CAMERA#NEGATIVE']]","[('dùng thấy ok mọi thứ đều mượt', 'GENERAL#POSITIVE'), ('pin quá trâu', 'BATTERY#POSITIVE'), ('nhưng camera hay lỗi lúc muốn chụp thì ko lên ảnh', 'CAMERA#NEGATIVE')]"
1316,"Có ai bị vấn đề về mic không, lâu lâu nói chuyện điện thoại bị dập dập như mất sóng mặc dù sóng rất đầy, chơi game pubg chat voice với bạn cũng bị như vậy","[[30, 154, 'FEATURES#NEGATIVE']]","[('lâu lâu nói chuyện điện thoại bị dập dập như mất sóng mặc dù sóng rất đầy, chơi game pubg chat voice với bạn cũng bị như vậy', 'FEATURES#NEGATIVE')]"
1317,"Mới mua hôm 24.6 nay giảm giá mạnh thế😅😅😅Nhân viên nhiệt tình rất dễ thương,dt sài ok,mới cập nhật thấy hao pjn và wifi bắt hơi kém","[[17, 78, 'SER&ACC#POSITIVE'], [86, 131, 'PERFORMANCE#NEGATIVE']]","[('nay giảm giá mạnh thế😅😅😅Nhân viên nhiệt tình rất dễ thương,dt', 'SER&ACC#POSITIVE'), ('mới cập nhật thấy hao pjn và wifi bắt hơi kém', 'PERFORMANCE#NEGATIVE')]"
1318,sp thiết kế đẹp vào mạng rất nhanh pin dùng cực khoẻ nói chung mình thấy sp này rất tuyệt vời,"[[0, 15, 'DESIGN#POSITIVE'], [15, 34, 'FEATURES#POSITIVE'], [34, 52, 'BATTERY#POSITIVE'], [52, 93, 'GENERAL#POSITIVE']]","[('sp thiết kế đẹp', 'DESIGN#POSITIVE'), (' vào mạng rất nhanh', 'FEATURES#POSITIVE'), (' pin dùng cực khoẻ', 'BATTERY#POSITIVE'), (' nói chung mình thấy sp này rất tuyệt vời', 'GENERAL#POSITIVE')]"
1319,"Mới mua 1 ngày vê cảm nhận là hơi nặng so và dày, thiết kế đẹp nhưng mà mình là người ưa nhỏ gọn nên lỡ mua cái này cảm thấy ko thoãi mái.","[[17, 137, 'DESIGN#NEGATIVE']]","[(' cảm nhận là hơi nặng so và dày, thiết kế đẹp nhưng mà mình là người ưa nhỏ gọn nên lỡ mua cái này cảm thấy ko thoãi mái', 'DESIGN#NEGATIVE')]"
1320,"Máy tạm,game lag,giật liên tục,pin tut nhanh,khá thất vọng với siêu phẩm cua nhà samsung.chờ bản cập nhật mới xem ntn","[[0, 7, 'GENERAL#NEUTRAL'], [8, 30, 'PERFORMANCE#NEGATIVE'], [31, 44, 'BATTERY#NEGATIVE'], [45, 88, 'GENERAL#NEGATIVE']]","[('Máy tạm', 'GENERAL#NEUTRAL'), ('game lag,giật liên tục', 'PERFORMANCE#NEGATIVE'), ('pin tut nhanh', 'BATTERY#NEGATIVE'), ('khá thất vọng với siêu phẩm cua nhà samsung', 'GENERAL#NEGATIVE')]"
1321,"Ok trong tầm giá, đẹp, chơi game lq thấy ổn vì mình giải trí thi thoảng chứ ko phải chuyên game, pin và camera ổn","[[0, 2, 'GENERAL#POSITIVE'], [18, 21, 'DESIGN#POSITIVE'], [23, 43, 'PERFORMANCE#POSITIVE'], [97, 100, 'BATTERY#POSITIVE'], [104, 113, 'CAMERA#POSITIVE']]","[('Ok', 'GENERAL#POSITIVE'), ('đẹp', 'DESIGN#POSITIVE'), ('chơi game lq thấy ổn', 'PERFORMANCE#POSITIVE'), ('pin', 'BATTERY#POSITIVE'), ('camera ổn', 'CAMERA#POSITIVE')]"
1322,Con này bộ nhớ trong khủng nhỉ 128G luôn . 5 triệu thì ngon. Nhung chạy chíp p60 thì hợp lý .chíp hơi yếu,"[[8, 40, 'STORAGE#POSITIVE'], [43, 59, 'PRICE#NEGATIVE'], [93, 105, 'PERFORMANCE#NEGATIVE']]","[('bộ nhớ trong khủng nhỉ 128G luôn', 'STORAGE#POSITIVE'), ('5 triệu thì ngon', 'PRICE#NEGATIVE'), ('chíp hơi yếu', 'PERFORMANCE#NEGATIVE')]"
1323,"Tìm hiểu và đọc khá nhiều bình luận về máy này trước khi mua, riêng mình thấy máy ổn chạy mượt chưa có vấn đề gì trong quá trình sử dụng, pin trâu. Rất thích","[[68, 136, 'GENERAL#POSITIVE'], [138, 146, 'BATTERY#POSITIVE']]","[('mình thấy máy ổn chạy mượt chưa có vấn đề gì trong quá trình sử dụng', 'GENERAL#POSITIVE'), ('pin trâu', 'BATTERY#POSITIVE')]"
1324,"Máy chạy khá mượt khi có cài thẻ nhớ làm bộ nhớ trong, cầm pin lâu, công nghệ tiết kiệm pin tốt, màn hình đẹp. Rất hài lòng về sản phẩm !","[[0, 64, 'PERFORMANCE#POSITIVE'], [66, 111, 'BATTERY#POSITIVE'], [113, 128, 'SCREEN#POSITIVE'], [130, 160, 'GENERAL#POSITIVE']]","[('Máy chạy khá mượt khi có cài thẻ nhớ làm bộ nhớ trong', 'PERFORMANCE#POSITIVE'), ('cầm pin lâu, công nghệ tiết kiệm pin tốt', 'BATTERY#POSITIVE'), ('màn hình đẹp', 'SCREEN#POSITIVE'), ('Rất hài lòng về sản phẩm', 'GENERAL#POSITIVE')]"
1325,"Sản phẩm ổn trong tầm giá.Ưu điểm: màn hình đẹp ,giao diện ok,thiết kế đẹp,pin ổn,chơi game ổn định như Pubg(HD ở cấu hình cực cao)Nhược điểm: bắt sống yếu,vân tay ko nhạy.Tạm ổn so với mức giá này","[[0, 25, 'GENERAL#POSITIVE'], [35, 47, 'SCREEN#POSITIVE'], [49, 61, 'PERFORMANCE#POSITIVE'], [62, 74, 'DESIGN#POSITIVE'], [75, 81, 'BATTERY#POSITIVE'], [82, 131, 'PERFORMANCE#POSITIVE'], [143, 171, 'FEATURES#NEGATIVE'], [172, 197, 'GENERAL#NEUTRAL']]","[('Sản phẩm ổn trong tầm giá', 'GENERAL#POSITIVE'), ('màn hình đẹp', 'SCREEN#POSITIVE'), ('giao diện ok', 'PERFORMANCE#POSITIVE'), ('thiết kế đẹp', 'DESIGN#POSITIVE'), ('pin ổn', 'BATTERY#POSITIVE'), ('chơi game ổn định như Pubg(HD ở cấu hình cực cao)', 'PERFORMANCE#POSITIVE'), ('bắt sống yếu,vân tay ko nhạy', 'FEATURES#NEGATIVE'), ('Tạm ổn so với mức giá này', 'GENERAL#NEUTRAL')]"
1326,Cảm ứng vân tay chậm. Chơi game đôi lúc loạn cảm ứng ko ăn. Pin lướt wed chơi game được 1 ngày.. Nói chung là ổn,"[[0, 58, 'FEATURES#NEGATIVE'], [60, 94, 'BATTERY#NEUTRAL'], [97, 112, 'GENERAL#POSITIVE']]","[('Cảm ứng vân tay chậm. Chơi game đôi lúc loạn cảm ứng ko ăn', 'FEATURES#NEGATIVE'), ('Pin lướt wed chơi game được 1 ngày', 'BATTERY#NEUTRAL'), ('Nói chung là ổn', 'GENERAL#POSITIVE')]"
1327,"Mình mới mua điện thoại này cho má mình sử dụng, nói chung là rất hài lòng, trong tầm giá này thì không thể đòi hỏi gì hơn nữa, các bạn nhân viên ở ĐMX rất thân thiện, tư vấn rất kỹ cho mình luôn ạ!","[[49, 74, 'GENERAL#POSITIVE'], [128, 197, 'SER&ACC#POSITIVE']]","[('nói chung là rất hài lòng', 'GENERAL#POSITIVE'), ('các bạn nhân viên ở ĐMX rất thân thiện, tư vấn rất kỹ cho mình luôn ạ', 'SER&ACC#POSITIVE')]"
1328,Hi mới mua được 1 ngày nhưng cũng thấy khá ok . Những dùng lâu dài thì không biết như thế nào,"[[34, 45, 'GENERAL#POSITIVE']]","[('thấy khá ok', 'GENERAL#POSITIVE')]"
1329,"Máy ổn, thông số đáng mua, pin cũng ok, hình chụp thì khỏi nói mượt nhất định mua một cái.","[[0, 6, 'GENERAL#POSITIVE'], [8, 25, 'PERFORMANCE#POSITIVE'], [27, 38, 'BATTERY#POSITIVE'], [40, 62, 'CAMERA#POSITIVE'], [63, 67, 'PERFORMANCE#POSITIVE']]","[('Máy ổn', 'GENERAL#POSITIVE'), ('thông số đáng mua', 'PERFORMANCE#POSITIVE'), ('pin cũng ok', 'BATTERY#POSITIVE'), ('hình chụp thì khỏi nói', 'CAMERA#POSITIVE'), ('mượt', 'PERFORMANCE#POSITIVE')]"
1330,"Mới lấy 7plus về 2 ngày đem ra đổi trả vì lỗi nhỏ phần cứng tí thôi, dùng thì vẫn ko ảnh hưởng gì vì để ý rất kỹ mới thấy. Nhân viên hỗ trợ kỹ thuật nhiệt tình am hiểu điềm đạm, chưa đầy 5f lại được bóc tiếp máy mới. Sp rất đáng để lựa chọn trong tầm giá. Vẫn tin tường về chế độ bảo hành của TGDĐ","[[123, 176, 'SER&ACC#POSITIVE'], [256, 297, 'SER&ACC#POSITIVE'], [217, 240, 'GENERAL#POSITIVE'], [42, 121, 'DESIGN#NEGATIVE']]","[('Nhân viên hỗ trợ kỹ thuật nhiệt tình am hiểu điềm đạm', 'SER&ACC#POSITIVE'), ('Vẫn tin tường về chế độ bảo hành của TGDĐ', 'SER&ACC#POSITIVE'), ('Sp rất đáng để lựa chọn', 'GENERAL#POSITIVE'), ('lỗi nhỏ phần cứng tí thôi, dùng thì vẫn ko ảnh hưởng gì vì để ý rất kỹ mới thấy', 'DESIGN#NEGATIVE')]"
1331,"Đã sài được hơn 1 năm. 6 tháng đầu thì ok. Sau đó hay bị bung sim rồi báo gắn thẻ sim. Haiz. Sau 10 tháng sử dụng thì thêm dụ sạc pin mình đã tắt hết tất cả ứng dụng chạy ngầm, tắt wifi. Lát sau đt tự bật wifi lên luôn. Đến hiện tại 2 lỗi này vẫn còn.","[[23, 41, 'GENERAL#POSITIVE'], [118, 218, 'FEATURES#NEGATIVE'], [50, 85, 'DESIGN#NEGATIVE']]","[('6 tháng đầu thì ok', 'GENERAL#POSITIVE'), ('thêm dụ sạc pin mình đã tắt hết tất cả ứng dụng chạy ngầm, tắt wifi. Lát sau đt tự bật wifi lên luôn', 'FEATURES#NEGATIVE'), ('hay bị bung sim rồi báo gắn thẻ sim', 'DESIGN#NEGATIVE')]"
1332,Tất cả đều tốt ngoại trừ pin sạc quá lâu 4 tiếng chưa đầy với khá nhiều quảng cáo.,"[[0, 14, 'GENERAL#POSITIVE'], [15, 57, 'BATTERY#NEGATIVE'], [62, 81, 'PERFORMANCE#NEGATIVE']]","[('Tất cả đều tốt', 'GENERAL#POSITIVE'), ('ngoại trừ pin sạc quá lâu 4 tiếng chưa đầy', 'BATTERY#NEGATIVE'), ('khá nhiều quảng cáo', 'PERFORMANCE#NEGATIVE')]"
1333,"Máy chụp tối. Dùng đèn flash .phải mất 5s đến 6s mới chụp đc. Thất vọng về độ trễ này. Nhưng hàng việt, và sự nhiệt tình của các bạn nhân viên. Vẫn cho 5 sao.😁😁😁","[[0, 85, 'CAMERA#NEGATIVE'], [93, 142, 'SER&ACC#POSITIVE']]","[('Máy chụp tối. Dùng đèn flash .phải mất 5s đến 6s mới chụp đc. Thất vọng về độ trễ này', 'CAMERA#NEGATIVE'), ('hàng việt, và sự nhiệt tình của các bạn nhân viên', 'SER&ACC#POSITIVE')]"
1334,"Pin xài lâu, camera chụp sắc net, loa ngoài to, cầm chắc tay, vẫn tay rất nhạy cảm :)) rung khi có cuộc gọi còn yếu , mình ko chơi game nên ko ý kiến.. khi mua các bạn nên lên google tham khảo thông tin từ nhiều nguồn khác nhau, đừng vội tin người khác khen chê quá!","[[0, 11, 'BATTERY#POSITIVE'], [13, 32, 'CAMERA#POSITIVE'], [34, 46, 'FEATURES#POSITIVE'], [48, 60, 'DESIGN#POSITIVE'], [62, 82, 'FEATURES#POSITIVE'], [87, 115, 'FEATURES#NEGATIVE']]","[('Pin xài lâu', 'BATTERY#POSITIVE'), ('camera chụp sắc net', 'CAMERA#POSITIVE'), ('loa ngoài to', 'FEATURES#POSITIVE'), ('cầm chắc tay', 'DESIGN#POSITIVE'), ('vẫn tay rất nhạy cảm', 'FEATURES#POSITIVE'), ('rung khi có cuộc gọi còn yếu', 'FEATURES#NEGATIVE')]"
1335,"Đã ủng hộ 2 đời điện thoại Vin. Nhưng thực sự chối vô cùng. Lần đầu mua con Joy thì đổi đến 2 lần vẫn đơ cảm ứng. Nghĩ rằng lô đầu Vin làn đt chắc chưa khắc phục đc. Thời gian sau mua con Live cũng đắt nhưng chỉ đc ít bữa mất kết nối 4g liên tục,ảnh hưởng đến cv vì mình dùng nhiều đến 4g. Muốn ủng hộ hàng Việt lắm nhưng chịu thôi.","[[0, 30, 'SER&ACC#POSITIVE'], [38, 58, 'GENERAL#NEGATIVE'], [84, 112, 'GENERAL#NEGATIVE'], [180, 202, 'PRICE#NEGATIVE'], [215, 288, 'FEATURES#NEGATIVE'], [290, 331, 'SER&ACC#NEGATIVE']]","[('Đã ủng hộ 2 đời điện thoại Vin', 'SER&ACC#POSITIVE'), ('thực sự chối vô cùng', 'GENERAL#NEGATIVE'), ('đổi đến 2 lần vẫn đơ cảm ứng', 'GENERAL#NEGATIVE'), ('mua con Live cũng đắt ', 'PRICE#NEGATIVE'), ('ít bữa mất kết nối 4g liên tục,ảnh hưởng đến cv vì mình dùng nhiều đến 4g', 'FEATURES#NEGATIVE'), ('Muốn ủng hộ hàng Việt lắm nhưng chịu thôi', 'SER&ACC#NEGATIVE')]"
1336,Mới mua nay xong . Rất ok về tầm giá . So vs những hãng khác . Nói chung hợp vs nhu cầu cảu bản thân,"[[19, 25, 'GENERAL#POSITIVE'], [63, 100, 'GENERAL#POSITIVE']]","[('Rất ok', 'GENERAL#POSITIVE'), ('Nói chung hợp vs nhu cầu cảu bản thân', 'GENERAL#POSITIVE')]"
1337,"Mìh đặt hàng từ lúc mới ra mắt, bàn phím nt thì hoi chậm ko đc mượt đã tùy chỉnh rồi thi cung zay.. khi sử dụng thì thỉnh thoản hây bị lác.. dù đã khởi động lại..vs tầm giá mới đặt hàng 7.780.000 mình thấy kô hợp vs giá tiền..","[[34, 104, 'FEATURES#NEGATIVE'], [107, 170, 'PERFORMANCE#NEGATIVE'], [200, 209, 'PRICE#NEUTRAL']]","[('bàn phím nt thì hoi chậm ko đc mượt đã tùy chỉnh rồi thi cung zay', 'FEATURES#NEGATIVE'), ('khi sử dụng thì thỉnh thoản hây bị lác.. dù đã khởi động lại', 'PERFORMANCE#NEGATIVE'), ('7.780.000', 'PRICE#NEUTRAL')]"
1338,"Máy trong tầm giá này thì bth vì được cái pin nó trâu. Đang dùng ngon lành tự nhiên sập nguồn, bị đơ,bấm mở nguồn lại ko đc phải chờ đến 10p sau mới mở nguồn lại. Cv của mình toàn trên đth ko thôi mà bị vậy đang có cv thì tự nhiên đơ rồi cái rụp sập nguồn muốn đập lắm lun á. Đang có ý định đổi qua máy khác. Không biết đc không","[[0, 29, 'GENERAL#NEUTRAL'], [42, 53, 'BATTERY#POSITIVE'], [55, 161, 'PERFORMANCE#NEGATIVE'], [222, 255, 'PERFORMANCE#NEGATIVE']]","[('Máy trong tầm giá này thì bth', 'GENERAL#NEUTRAL'), ('pin nó trâu', 'BATTERY#POSITIVE'), ('Đang dùng ngon lành tự nhiên sập nguồn, bị đơ,bấm mở nguồn lại ko đc phải chờ đến 10p sau mới mở nguồn lại', 'PERFORMANCE#NEGATIVE'), ('tự nhiên đơ rồi cái rụp sập nguồn', 'PERFORMANCE#NEGATIVE')]"
1339,"chụp ảnh nét, pin khỏe, dùng để không qua đêm không bị hao pin.cảm ứng mướt, máy đẹp được tặng cả bao , mình rất thích.","[[0, 12, 'CAMERA#POSITIVE'], [14, 62, 'BATTERY#POSITIVE'], [63, 75, 'PERFORMANCE#POSITIVE'], [77, 101, 'DESIGN#POSITIVE'], [104, 118, 'GENERAL#POSITIVE']]","[('chụp ảnh nét', 'CAMERA#POSITIVE'), ('pin khỏe, dùng để không qua đêm không bị hao pin', 'BATTERY#POSITIVE'), ('cảm ứng mướt', 'PERFORMANCE#POSITIVE'), ('máy đẹp được tặng cả bao', 'DESIGN#POSITIVE'), ('mình rất thích', 'GENERAL#POSITIVE')]"
